,precision,recall,f1-score,support
0,0.9915917657291968,0.8001871782873187,0.8856661918943416,8548.0
1,0.8070274545249124,0.9919455631162338,0.8899825566907551,7201.0
accuracy,0.8878658962473808,0.8878658962473808,0.8878658962473808,0.8878658962473808
macro avg,0.8993096101270546,0.8960663707017762,0.8878243742925483,15749.0
weighted avg,0.9072024327568142,0.8878658962473808,0.8876397865923524,15749.0
