,precision,recall,f1-score,support
0,0.9900202487706103,0.8007721104351895,0.8853964558271893,8548.0
1,0.8072439162422185,0.9904179975003472,0.8894986280868047,7201.0
accuracy,0.8874849196774398,0.8874849196774398,0.8874849196774398,0.8874849196774398
macro avg,0.8986320825064145,0.8955950539677684,0.8874475419569969,15749.0
weighted avg,0.9064484429075745,0.8874849196774398,0.887272114119239,15749.0
