,precision,recall,f1-score,support
0,0.6348943224202238,0.6980770983322702,0.6649882802326591,10973.0
1,0.6003136687175775,0.5304338556657073,0.5632144878324844,9381.0
accuracy,0.6208116340768399,0.6208116340768399,0.6208116340768399,0.6208116340768399
macro avg,0.6176039955689007,0.6142554769989887,0.6141013840325718,20354.0
weighted avg,0.6189563685839006,0.62081163407684,0.6180815323449692,20354.0
