,precision,recall,f1-score,support
0,0.6370479463262968,0.7095598286703727,0.6713515843931882,10973.0
1,0.6080914904082636,0.5271293039121628,0.5647233483697824,9381.0
accuracy,0.6254790213225901,0.6254790213225901,0.6254790213225901,0.6254790213225901
macro avg,0.6225697183672803,0.6183445662912678,0.6180374663814854,20354.0
weighted avg,0.6237021414247016,0.6254790213225901,0.6222074612657652,20354.0
