,precision,recall,f1-score,support
0,0.9686633388796451,0.8172671970051474,0.8865482233502539,8548.0
1,0.8170317441724259,0.9686154700736009,0.8863896301944338,7201.0
accuracy,0.8864689821575973,0.8864689821575973,0.8864689821575973,0.8864689821575973
macro avg,0.8928475415260355,0.8929413335393741,0.8864689267723438,15749.0
weighted avg,0.8993320090500251,0.8864689821575973,0.8864757089483832,15749.0
