,precision,recall,f1-score,support
0,0.9957651869158879,0.7977304632662611,0.8858144972720187,8548.0
1,0.8057521626783507,0.995972781558117,0.8908210160228544,7201.0
accuracy,0.8883738650073021,0.8883738650073021,0.8883738650073021,0.8883738650073021
macro avg,0.9007586747971192,0.896851622412189,0.8883177566474365,15749.0
weighted avg,0.9088845095691037,0.8883738650073021,0.8881036547756549,15749.0
