,precision,recall,f1-score,support
0,0.9943223176590479,0.7990173139915769,0.8860348965427775,8548.0
1,0.8065315315315316,0.9945840855436745,0.8907406255829862,7201.0
accuracy,0.8884373611022922,0.8884373611022922,0.8884373611022922,0.8884373611022922
macro avg,0.9004269245952897,0.8968006997676257,0.8883877610628819,15749.0
weighted avg,0.9084577261990031,0.8884373611022922,0.8881865223487678,15749.0
