,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.6108490566037735,0.5866571699905033,0.5268656716417911,0.5551561446865872,0.6345643145140917
random_forest,0.6144850628930818,0.592565773594014,0.523454157782516,0.5558700328314276,0.6510578973265541
gradient_boosting,0.6164504716981132,0.5960458872345619,0.520682302771855,0.5558210993513144,0.6534032936717382
