iter	Logloss
0	0.5907276212
1	0.5144368479
2	0.4597683111
3	0.4188999852
4	0.3887454932
5	0.3666700604
6	0.3508400167
7	0.3377422909
8	0.3273178208
9	0.3189920851
10	0.3122705953
11	0.3070435358
12	0.3022346919
13	0.297923017
14	0.294439969
15	0.2913026384
16	0.2890062217
17	0.2866602513
18	0.2844278913
19	0.2822733147
20	0.280516046
21	0.278836707
22	0.2773359762
23	0.276069339
24	0.2749075534
25	0.2741794998
26	0.2731248682
27	0.2722476958
28	0.2714013852
29	0.2708118256
30	0.2700936099
31	0.2694191264
32	0.2688516201
33	0.2683728718
34	0.2678968079
35	0.2674506543
36	0.2670357976
37	0.2667302843
38	0.266388963
39	0.2660291625
40	0.2657036202
41	0.2654467203
42	0.2651913974343	0.2649590824444	0.264751545	045	0.2645461465
46	0.2643608017
47	0.264135724
48	0.263913548
49	0.2637965813
50	0.2636095642
51	0.2634711377
52	0.2633271449
53	0.2631812743
54	0.2630410842
55	0.2629221994
56	0.2628489484
57	0.2627194878
58	0.2626307497
59	0.262490973
60	0.2624143654
61	0.26231062	0.62	0.26220663	0.63	0.2621164	0.264	0.2620165	0.265	0.2619266	0.66	0.26183167	0.261912394
68	0.26168	0.26269	0.26969	0.26270	0.27070	0.26271	0.27171	0.2623325317272	0.26273	0.27373	0.26274	0.27474	0.2621026715
75	0.26276	0.26176	0.2619972151
77	0.2619022265
78	0.2618315868
79	0.2617533301
80	0.2616955593
81	0.2616644607
82	0.2616127291
83	0.2615467141
84	0.261517924
85	0.26186	0.26086	0.26187	0.26087	0.26188	0.26088	0.2689	0.260689	0.2690	0.260690	0.2612709958
91	0.2692	0.260592	0.2693	0.260493	0.2694	0.260494	0.2695	0.2695	0.261096	0.2696	0.261097	0.2697	0.261098	0.2698	0.261099	0.2699	0.2609100	0.2602152396
101	0.2101	0.2608102	0.2102	0.2608103	0.103	0.2608104	0.2104	0.2608105	0.2105	0.2607940529
106	0.2607577884
107	0.2607199467
108	0.2606869614
109	0.2606606035
110	0.2606459225
111	0.2606249536
112	0.2606056593
113	0.2605766416
114	0.2605333854
115	0.2605017388
116	0.2604607812
117	0.2604512159
118	0.2604216184
119	0.2604051822
