iter	Logloss
120	0.2603592869
121	0.2603367592
122	0.2603175653
123	0.2602972645
124	0.2602541881
125	0.2602366136
126	0.260225241
127	0.2601971094
128	0.2601675346
129	0.2601391586
130	0.2601144566
131	0.2600998417
132	0.2600781003
133	0.2600428428
134	0.2600318738
135	0.2600114596
136	0.2599797933
137	0.2599606522
138	0.2599306285
139	0.2598873444
140	0.2598614747
141	0.259838638
142	0.2598094189
143	0.2598008265
144	0.2597756079
145	0.2597625347
146	0.2597510071
147	0.2597107166
148	0.2596990357
149	0.2596782145
150	0.2596524148
151	0.2596337337
152	0.2596093349
153	0.2595898066
154	0.2595790615
155	0.2595573201
156	0.2595373742
157	0.2594967986
158	0.2594799739
159	0.2594662556
160	0.2594573786
161	0.2594393082
162	0.2594209062
163	0.2593956208
164	0.2593876346
165	0.2593719139
166	0.2593385159
167	0.2593245901
168	0.2593072048
169	0.2592995211
170	0.2592756991
171	0.2592548399
172	0.2592387215
173	0.259226085
174	0.2592077279
175	0.2591616154
176	0.2591467156
177	0.259128826
178	0.259095678
179	0.2590875623
180	0.25907559
181	0.2590534555
182	0.2590413934
183	0.2590087836
184	0.258972381
185	0.2589615744
186	0.2589374469
187	0.2589175618
188	0.2588847259
189	0.2588485297
190	0.2588310045
191	0.258812619
192	0.2587863517
193	0.2587753525
194	0.2587555797
195	0.2587419793
196	0.2587290181
197	0.2587097622
198	0.2586910834
199	0.2586445215
200	0.2586251551
201	0.2585902869
202	0.2585711126
203	0.2585533605
204	0.2585311981
205	0.2585121288
206	0.2585011325
207	0.2584813402
208	0.258464287
209	0.2584444742
210	0.2584201625
211	0.2583928219
212	0.2583768377
213	0.2583611464
214	0.2583552327
215	0.2583438856
216	0.2583155064
217	0.2582903658
218	0.2582708647
219	0.2582435411
220	0.2582298622
221	0.2582045876
222	0.2581898703
223	0.2581674092
224	0.2581558714
225	0.2581437231
226	0.2580925185
227	0.2580785787
228	0.2580649561
229	0.2580463979
230	0.2580204975
231	0.2579966455
232	0.2579695223
233	0.2579488578
234	0.2579245536
235	0.2578972383
236	0.2578731556
237	0.2578500043
238	0.2578340008
239	0.2578190108
240	0.2578154529
241	0.2577989723
242	0.2577804527
243	0.2577721344
244	0.257740968
245	0.257728703
246	0.2576908701
247	0.2576782741
248	0.2576592659
249	0.2576414969
250	0.2576246839
251	0.2576073613
252	0.2575926535
253	0.2575706744
254	0.2575368323
255	0.2575184386
256	0.2574974639
257	0.2574731718
258	0.2574597269
259	0.2574452503
260	0.2574226364
261	0.2574064377
262	0.2573940006
263	0.2573826148
264	0.2573657944
265	0.2573494098
266	0.2573380905
267	0.257314218
268	0.2572935129
269	0.2572706057
270	0.2572553333
271	0.2572403983
272	0.2572162186
273	0.2572029539
274	0.2571787564
275	0.2571612561
276	0.2571460889
277	0.2571148826
278	0.2570943191
279	0.2570703441
280	0.2570383305
281	0.2570254235
282	0.2570131611
283	0.2570043336
284	0.2569825761
285	0.2569638551
286	0.2569364807
287	0.2569149545
288	0.2568956521
289	0.2568792398
290	0.256862624
291	0.2568289439
292	0.2568095959
293	0.2567751092
294	0.256751621
295	0.256742489
296	0.2567244855
297	0.2566944198
298	0.256670146
299	0.2566534025
300	0.2566350764
301	0.2566230548
302	0.2566114468
303	0.2565968793
304	0.2565724616
305	0.256562526
306	0.2565410247
307	0.2565313498
308	0.256520471
309	0.2565096529
310	0.2564883012
311	0.2564726546
312	0.2564624367
313	0.256439173
314	0.2564293065
315	0.2564051771
316	0.2563907253
317	0.2563707041
318	0.2563530318
319	0.2563414792
320	0.2563297606
321	0.25629902
322	0.2562876985
323	0.2562727531
324	0.2562531295
325	0.2562400235
326	0.2562330904
327	0.2562189244
328	0.2562009708
329	0.2561774658
330	0.2561646837
331	0.256136977
332	0.2561237164
333	0.2560951169
334	0.2560789461
335	0.2560630231
336	0.2560488234
337	0.2560345451
338	0.2560189974
339	0.256001178
340	0.2559901145
341	0.2559782596
342	0.2559598633
343	0.2559454233
344	0.2559331676
345	0.2559230511
346	0.2559073588
347	0.2558891312
348	0.2558688624
349	0.2558544436
350	0.2558430912
351	0.2558293573
352	0.2558185127
353	0.2558109903
354	0.2557968078
355	0.2557862741
356	0.2557717657
357	0.2557557923
358	0.2557359476
359	0.2557226998
360	0.2557125082
361	0.2557006437
362	0.2556822408
363	0.2556568516
364	0.2556432234
365	0.2556250251
366	0.255615873
367	0.2556018469
368	0.2555836827
369	0.2555733704
370	0.255563884
371	0.255554387
372	0.2555437176
373	0.2555318651
374	0.2555143307
375	0.2555045666
376	0.2554824301
377	0.2554685594
378	0.255443334
379	0.2554285254
380	0.2554118473
381	0.2553989869
382	0.2553874181
383	0.2553751093
384	0.2553574007
385	0.2553487946
386	0.2553296515
387	0.2553190493
388	0.2553096331
389	0.2553048797
390	0.2552943827
391	0.2552740733
392	0.2552566401
393	0.2552369603
394	0.255227124
395	0.2552097579
396	0.2551908779
397	0.2551768763
398	0.2551681982
399	0.255153197
400	0.2551349801
401	0.2551221797
402	0.2551058958
403	0.2550980741
404	0.2550824408
405	0.2550603096
406	0.2550423
407	0.2550233722
408	0.2550152033
409	0.2550032708
410	0.2549837412
411	0.2549789694
412	0.2549565584
413	0.2549346574
414	0.2549184049
415	0.2549113684
416	0.2549027131
417	0.2548824233
418	0.2548649647
419	0.2548514268
420	0.2548344665
421	0.2548298109
422	0.2548211039
423	0.2548052179
424	0.2547869715
425	0.2547674956
8
